---Эпоха - 128---
Точность(207) - 0,0003905873
Точность(208) - 0,00040727
Точность(209) - 0,0006457089
Точность(210) - 0,0003383071
Точность(211) - 0,0003220057
Точность(212) - 0,0003223711
Точность(213) - 0,0003236827
Точность(214) - 0,0003282988
Точность(215) - 0,0003218566
Точность(216) - 0,0003203216
Точность(217) - 0,0003219424
Точность(218) - 0,0003011965
Точность(219) - 0,000304464
Точность(220) - 0,0003002257
Точность(221) - 0,0003253483
Точность(222) - 0,001571527 - ТУТ
Точность(223) - 0,000350053
Точность(224) - 0,0003253591
Точность(225) - 0,0003350007
Точность(226) - 0,0003260483
Точность(227) - 0,0003250439
Точность(228) - 0,0003207829
Точность(229) - 0,0003306512
Точность(230) - 0,0003248515
Точность(231) - 0,0003192154
Точность(232) - 0,0003255014
Точность(233) - 0,0003356168
Точность(234) - 0,000322975
Точность(235) - 0,0003289797
Точность(236) - 0,000315578
Точность(237) - 0,000350133
Точность(238) - 0,0003078866
Точность(239) - 0,0003169538
Точность(240) - 0,001339872 - ТУТ
Точность(241) - 0,003763581 - ТУТ
Точность(242) - 0,001276638 - ТУТ
Точность(243) - 0,001156706 - ТУТ
Точность(244) - 0,0007484158
Точность(245) - 0,0007444794
Точность(246) - 0,0009670134
Точность(247) - 0,00074625
Точность(248) - 0,0007778406
Точность(249) - 0,001145634 - ТУТ
Точность(250) - 0,003511405 - ТУТ
Точность(251) - 0,001078107 - ТУТ
Точность(252) - 0,0007568912
Точность(253) - 0,0007645058
Точность(254) - 0,0007514674
Точность(255) - 0,0007475301
Точность(256) - 0,001061592 - ТУТ
Точность(257) - 0,001190054 - ТУТ
Точность(258) - 0,003527086 - ТУТ
Точность(259) - 0,0007464999
Точность(260) - 0,0007660438
Точность(261) - 0,0007473054
Точность(262) - 0,001764809 - ТУТ
Точность(263) - 0,000753121
Точность(264) - 0,001194531 - ТУТ
Точность(265) - 0,00111736 - ТУТ
Точность(266) - 0,001092588 - ТУТ
Точность(267) - 0,0007932379
Точность(268) - 0,000746617
Точность(269) - 0,0007457337
Точность(270) - 0,0008335393
Точность(271) - 0,0011803 - ТУТ
Точность(272) - 0,0009710334
Точность(273) - 0,0009171556
Точность(274) - 0,0008940676
Точность(275) - 0,0004229299
Точность(276) - 0,0008389207
Точность(277) - 0,00108045 - ТУТ
Точность(278) - 0,0003816758
Точность(279) - 0,0007803833
Точность(280) - 0,001170395 - ТУТ
Точность(281) - 0,0003632897
Точность(282) - 0,0003558845
Точность(283) - 0,0003685971
Точность(284) - 0,0004645445
Точность(285) - 0,001150607 - ТУТ
Точность(286) - 0,0007519866
Точность(287) - 0,0008131493
Точность(288) - 0,000784516
Точность(289) - 0,0003707932
Точность(290) - 0,0003352909
Точность(291) - 0,0003754193
Точность(292) - 0,0003720525
Точность(293) - 0,0003684132
Точность(294) - 0,000430675
Точность(295) - 0,0003768104
Точность(296) - 0,0003823338
Точность(297) - 0,0003948709
Точность(298) - 0,0004156872
Точность(299) - 0,0003688554

Точность эпохи - 0,0006907984
Альфа = 0,08371271
Время: 0,921 сек
---Конец эпохи 128---
