---Эпоха - 3---
Точность(151) - 0,05910578 - ТУТ
Точность(152) - 0,04831005 - ТУТ
Точность(153) - 0,04592079 - ТУТ
Точность(154) - 0,02527559 - ТУТ
Точность(155) - 0,02276097 - ТУТ
Точность(156) - 0,04983041 - ТУТ
Точность(157) - 0,02361176 - ТУТ
Точность(158) - 0,06213235 - ТУТ
Точность(159) - 0,02554738 - ТУТ
Точность(160) - 0,03978737 - ТУТ
Точность(161) - 0,07533194 - ТУТ
Точность(162) - 0,04105468 - ТУТ
Точность(163) - 0,02649989 - ТУТ
Точность(164) - 0,0422324 - ТУТ
Точность(165) - 0,05198206 - ТУТ
Точность(166) - 0,03838458 - ТУТ
Точность(167) - 0,03883405 - ТУТ
Точность(168) - 0,03124871 - ТУТ
Точность(169) - 0,2019534 - ТУТ
Точность(170) - 0,05311564 - ТУТ
Точность(171) - 0,04809929 - ТУТ
Точность(172) - 0,03052345 - ТУТ
Точность(173) - 0,05632607 - ТУТ
Точность(174) - 0,02964155 - ТУТ
Точность(175) - 0,04580624 - ТУТ
Точность(176) - 0,05609188 - ТУТ
Точность(177) - 0,02342429 - ТУТ
Точность(178) - 0,03702001 - ТУТ
Точность(179) - 0,03853521 - ТУТ
Точность(180) - 0,05336081 - ТУТ
Точность(181) - 0,04433489 - ТУТ
Точность(182) - 0,03459599 - ТУТ
Точность(183) - 0,03299071 - ТУТ
Точность(184) - 0,0264025 - ТУТ
Точность(185) - 0,03145584 - ТУТ
Точность(186) - 0,03898498 - ТУТ
Точность(187) - 0,03247533 - ТУТ
Точность(188) - 0,03374575 - ТУТ
Точность(189) - 0,03281794 - ТУТ
Точность(190) - 0,0277682 - ТУТ
Точность(191) - 0,05514946 - ТУТ
Точность(192) - 0,03040499 - ТУТ
Точность(193) - 0,03660739 - ТУТ
Точность(194) - 0,03929074 - ТУТ
Точность(195) - 0,0301081 - ТУТ
Точность(196) - 0,04772389 - ТУТ
Точность(197) - 0,03243699 - ТУТ
Точность(198) - 0,03652037 - ТУТ
Точность(199) - 0,03164174 - ТУТ
Точность(200) - 0,02920418 - ТУТ
Точность(201) - 0,04039033 - ТУТ
Точность(202) - 0,0367066 - ТУТ
Точность(203) - 0,02833145 - ТУТ
Точность(204) - 0,02815037 - ТУТ
Точность(205) - 0,03612003 - ТУТ
Точность(206) - 0,03980036 - ТУТ
Точность(207) - 0,03956536 - ТУТ
Точность(208) - 0,05018105 - ТУТ
Точность(209) - 0,04573195 - ТУТ
Точность(210) - 0,02652571 - ТУТ
Точность(211) - 0,02809324 - ТУТ
Точность(212) - 0,03597424 - ТУТ
Точность(213) - 0,08611924 - ТУТ
Точность(214) - 0,0288728 - ТУТ
Точность(215) - 0,05312228 - ТУТ
Точность(216) - 0,0272859 - ТУТ
Точность(217) - 0,04869196 - ТУТ
Точность(218) - 0,0480307 - ТУТ
Точность(219) - 0,0397107 - ТУТ
Точность(220) - 0,05021396 - ТУТ
Точность(221) - 0,03794771 - ТУТ
Точность(222) - 0,03515297 - ТУТ
Точность(223) - 0,0348972 - ТУТ
Точность(224) - 0,03035319 - ТУТ
Точность(225) - 0,04778748 - ТУТ
Точность(226) - 0,03757171 - ТУТ
Точность(227) - 0,02654151 - ТУТ
Точность(228) - 0,02860062 - ТУТ
Точность(229) - 0,04237362 - ТУТ
Точность(230) - 0,0293681 - ТУТ
Точность(231) - 0,02613954 - ТУТ
Точность(232) - 0,02098992 - ТУТ
Точность(233) - 0,02095631 - ТУТ
Точность(234) - 0,02923079 - ТУТ
Точность(235) - 0,03941879 - ТУТ
Точность(236) - 0,02103439 - ТУТ
Точность(237) - 0,03919239 - ТУТ
Точность(238) - 0,04861674 - ТУТ
Точность(239) - 0,0386599 - ТУТ
Точность(240) - 0,01707158 - ТУТ
Точность(241) - 0,02311913 - ТУТ
Точность(242) - 0,02260831 - ТУТ
Точность(243) - 0,01904822 - ТУТ
Точность(244) - 0,01697114 - ТУТ
Точность(245) - 0,03520758 - ТУТ
Точность(246) - 0,03742275 - ТУТ
Точность(247) - 0,02318614 - ТУТ
Точность(248) - 0,02021101 - ТУТ
Точность(249) - 0,0265469 - ТУТ
Точность(250) - 0,02232243 - ТУТ
Точность(251) - 0,02170713 - ТУТ
Точность(252) - 0,02374733 - ТУТ
Точность(253) - 0,01799203 - ТУТ
Точность(254) - 0,02354662 - ТУТ
Точность(255) - 0,02789026 - ТУТ
Точность(256) - 0,01668713 - ТУТ
Точность(257) - 0,02714554 - ТУТ
Точность(258) - 0,02720339 - ТУТ
Точность(259) - 0,02543534 - ТУТ
Точность(260) - 0,02687648 - ТУТ
Точность(261) - 0,02337744 - ТУТ
Точность(262) - 0,02521404 - ТУТ
Точность(263) - 0,01795064 - ТУТ
Точность(264) - 0,02726634 - ТУТ
Точность(265) - 0,03419884 - ТУТ
Точность(266) - 0,02142449 - ТУТ
Точность(267) - 0,0285456 - ТУТ
Точность(268) - 0,03317719 - ТУТ
Точность(269) - 0,03048635 - ТУТ
Точность(270) - 0,03366994 - ТУТ
Точность(271) - 0,03580355 - ТУТ
Точность(272) - 0,02291761 - ТУТ
Точность(273) - 0,02385934 - ТУТ
Точность(274) - 0,01818858 - ТУТ
Точность(275) - 0,02293992 - ТУТ
Точность(276) - 0,02551857 - ТУТ
Точность(277) - 0,02379293 - ТУТ
Точность(278) - 0,03017594 - ТУТ
Точность(279) - 0,08924617 - ТУТ
Точность(280) - 0,0205156 - ТУТ
Точность(281) - 0,02371412 - ТУТ
Точность(282) - 0,02382541 - ТУТ
Точность(283) - 0,02528032 - ТУТ
Точность(284) - 0,03148735 - ТУТ
Точность(285) - 0,02975345 - ТУТ
Точность(286) - 0,01722958 - ТУТ
Точность(287) - 0,02549492 - ТУТ
Точность(288) - 0,02934305 - ТУТ
Точность(289) - 0,02236062 - ТУТ
Точность(290) - 0,0218144 - ТУТ
Точность(291) - 0,02640702 - ТУТ
Точность(292) - 0,02573564 - ТУТ
Точность(293) - 0,02452626 - ТУТ
Точность(294) - 0,02855293 - ТУТ
Точность(295) - 0,02616708 - ТУТ
Точность(296) - 0,03638272 - ТУТ
Точность(297) - 0,02657776 - ТУТ
Точность(298) - 0,01948588 - ТУТ
Точность(299) - 0,02304569 - ТУТ
Точность(300) - 0,03295555 - ТУТ
Точность(301) - 0,03461808 - ТУТ
Точность(302) - 0,04651742 - ТУТ
Точность(303) - 0,02757197 - ТУТ
Точность(304) - 0,02604341 - ТУТ
Точность(305) - 0,02702979 - ТУТ
Точность(306) - 0,02763302 - ТУТ
Точность(307) - 0,03748419 - ТУТ
Точность(308) - 0,02624013 - ТУТ
Точность(309) - 0,03787204 - ТУТ
Точность(310) - 0,03059534 - ТУТ
Точность(311) - 0,03297408 - ТУТ
Точность(312) - 0,02213971 - ТУТ
Точность(313) - 0,03580382 - ТУТ
Точность(314) - 0,02641807 - ТУТ
Точность(315) - 0,02497759 - ТУТ
Точность(316) - 0,035728 - ТУТ
Точность(317) - 0,03662805 - ТУТ
Точность(318) - 0,033143 - ТУТ
Точность(319) - 0,03649323 - ТУТ
Точность(320) - 0,03485426 - ТУТ
Точность(321) - 0,03123176 - ТУТ
Точность(322) - 0,0234071 - ТУТ
Точность(323) - 0,02804164 - ТУТ
Точность(324) - 0,02531949 - ТУТ
Точность(325) - 0,04963451 - ТУТ
Точность(326) - 0,02383084 - ТУТ
Точность(327) - 0,02913779 - ТУТ
Точность(328) - 0,02826087 - ТУТ
Точность(329) - 0,03617894 - ТУТ
Точность(330) - 0,03406819 - ТУТ
Точность(331) - 0,03102473 - ТУТ
Точность(332) - 0,02379413 - ТУТ
Точность(333) - 0,02094744 - ТУТ
Точность(334) - 0,02556469 - ТУТ
Точность(335) - 0,02640221 - ТУТ
Точность(336) - 0,02476781 - ТУТ
Точность(337) - 0,02389317 - ТУТ
Точность(338) - 0,09067765 - ТУТ
Точность(339) - 0,02281513 - ТУТ
Точность(340) - 0,03111503 - ТУТ
Точность(341) - 0,01821567 - ТУТ
Точность(342) - 0,02389285 - ТУТ
Точность(343) - 0,02125874 - ТУТ
Точность(344) - 0,0212124 - ТУТ
Точность(345) - 0,01951361 - ТУТ
Точность(346) - 0,02339216 - ТУТ
Точность(347) - 0,01916369 - ТУТ
Точность(348) - 0,02548935 - ТУТ
Точность(349) - 0,02716394 - ТУТ
Точность(350) - 0,03554867 - ТУТ
Точность(351) - 0,02214871 - ТУТ
Точность(352) - 0,03158848 - ТУТ
Точность(353) - 0,08896384 - ТУТ
Точность(354) - 0,03191265 - ТУТ
Точность(355) - 0,02679574 - ТУТ
Точность(356) - 0,02815406 - ТУТ
Точность(357) - 0,02169206 - ТУТ
Точность(358) - 0,0308247 - ТУТ
Точность(359) - 0,02347202 - ТУТ
Точность эпохи - 0,03369297
Время: 4,262 сек
---Конец эпохи 3---
